City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
582,nelson bay,AU,-32.7167,152.15,80.96,85,94,3.0,overcast clouds,2022-01-06 23:57:35
583,banda aceh,ID,5.5577,95.3222,77.67,84,97,10.49,overcast clouds,2022-01-06 23:55:03
584,kedrovyy,RU,56.1667,91.8167,-3.14,100,98,2.73,overcast clouds,2022-01-06 23:57:35
585,doha,QA,25.2867,51.5333,58.98,63,0,12.66,clear sky,2022-01-06 23:57:36
586,belmonte,BR,-15.8631,-38.8828,79.3,82,100,10.89,overcast clouds,2022-01-06 23:57:36
587,qaqortoq,GL,60.7167,-46.0333,6.53,80,4,1.57,clear sky,2022-01-06 23:57:36
588,teya,RU,60.3778,92.6267,-20.02,100,69,2.55,broken clouds,2022-01-06 23:57:36
589,lopatino,RU,52.6195,45.8118,33.1,85,100,13.38,overcast clouds,2022-01-06 23:57:37
590,ziro,IN,27.6333,93.8333,34.14,81,2,2.98,clear sky,2022-01-06 23:57:37
591,palana,RU,59.1167,159.9667,9.77,79,3,9.01,clear sky,2022-01-06 23:57:37
592,arboletes,CO,8.8505,-76.4269,82.38,82,47,7.58,scattered clouds,2022-01-06 23:57:37
593,sisimiut,GL,66.9395,-53.6735,18.27,81,100,5.84,overcast clouds,2022-01-06 23:51:11
594,troitsko-pechorsk,RU,62.7084,56.1964,12.65,94,100,9.08,light snow,2022-01-06 23:51:12
595,fairbanks,US,64.8378,-147.7164,-5.84,74,100,0.0,overcast clouds,2022-01-06 23:50:18
596,thinadhoo,MV,0.5333,72.9333,81.09,76,85,9.64,overcast clouds,2022-01-06 23:57:38
597,zyryanovsk,KZ,49.7386,84.2719,18.93,98,100,1.23,overcast clouds,2022-01-06 23:58:38
598,southbridge,US,42.0751,-72.0334,31.03,69,78,3.4,broken clouds,2022-01-06 23:56:59
599,port macquarie,AU,-31.4333,152.9167,77.9,88,75,16.11,broken clouds,2022-01-06 23:57:07
600,naze,JP,28.3667,129.4833,56.32,61,61,7.34,broken clouds,2022-01-06 23:54:40
601,kot addu,PK,30.4692,70.9671,53.46,73,100,9.66,overcast clouds,2022-01-06 23:58:38
602,aguilar de la frontera,ES,37.5143,-4.6554,41.76,85,11,1.77,few clouds,2022-01-06 23:58:39
603,monte patria,CL,-30.6919,-70.9467,73.99,49,0,5.21,clear sky,2022-01-06 23:58:39
604,kidal,ML,18.4411,1.4078,64.38,21,46,7.29,scattered clouds,2022-01-06 23:48:51
605,nouakchott,MR,18.0858,-15.9785,66.13,33,97,12.95,overcast clouds,2022-01-06 23:58:39
606,jalalpur pirwala,PK,29.5069,71.2192,54.52,78,100,7.72,moderate rain,2022-01-06 23:58:39
607,brookhaven,US,31.5791,-90.4407,45.55,83,91,11.1,overcast clouds,2022-01-06 23:58:39
608,maceio,BR,-9.6658,-35.7353,81.84,78,40,6.91,scattered clouds,2022-01-06 23:58:40
609,savelugu,GH,9.6244,-0.8253,79.61,21,19,6.69,few clouds,2022-01-06 23:58:40
610,hargeysa,SO,9.56,44.065,59.88,94,55,7.18,broken clouds,2022-01-06 23:58:40
611,nizhneangarsk,RU,55.7833,109.55,10.24,91,97,2.1,overcast clouds,2022-01-06 23:58:40
612,bolshevik,BY,54.0065,27.5692,24.42,64,71,15.12,broken clouds,2022-01-06 23:58:41
613,kyra,RU,49.5776,111.9753,12.56,65,100,4.12,overcast clouds,2022-01-06 23:58:41
614,kabanjahe,ID,3.1001,98.4908,61.56,89,100,0.87,overcast clouds,2022-01-06 23:58:41
615,westport,US,41.1415,-73.3579,35.78,65,94,1.99,overcast clouds,2022-01-06 23:56:11
616,felanitx,ES,39.4696,3.1483,43.95,69,5,2.66,clear sky,2022-01-06 23:58:41
617,wah,PK,33.798,72.6957,49.01,93,100,3.15,moderate rain,2022-01-06 23:58:42
618,rawson,AR,-43.3002,-65.1023,68.56,59,44,10.96,scattered clouds,2022-01-06 23:58:42
619,tuntum,BR,-5.2581,-44.6489,73.87,95,98,0.18,overcast clouds,2022-01-06 23:58:42
620,jacqueville,CI,5.2052,-4.4146,82.31,84,34,9.95,scattered clouds,2022-01-06 23:58:43
621,fernie,CA,49.5,-115.0687,13.78,97,100,3.4,overcast clouds,2022-01-06 23:55:27
622,santa maria,BR,-29.6842,-53.8069,72.7,64,0,14.97,clear sky,2022-01-06 23:58:43
623,starobaltachevo,RU,56.0013,55.9213,26.22,95,100,15.23,light snow,2022-01-06 23:58:43
624,kieta,PG,-6.2167,155.6333,81.48,82,90,2.53,moderate rain,2022-01-06 23:58:43
625,qunduz,AF,36.729,68.857,41.65,83,100,3.6,overcast clouds,2022-01-06 23:58:44
626,chicama,PE,-7.8447,-79.1469,66.74,73,3,7.25,clear sky,2022-01-06 23:58:44
627,sechura,PE,-5.5569,-80.8222,74.35,65,38,15.35,scattered clouds,2022-01-06 23:58:44
628,alyangula,AU,-13.8483,136.4192,87.67,66,100,5.75,overcast clouds,2022-01-06 23:58:44
629,morehead,US,37.2711,-87.1764,19.15,82,100,9.22,overcast clouds,2022-01-06 23:58:45
630,hamilton,US,39.1834,-84.5333,20.98,77,100,4.0,overcast clouds,2022-01-06 23:56:25
631,martapura,ID,-3.4167,114.85,77.09,94,40,4.61,scattered clouds,2022-01-06 23:58:45
632,half moon bay,US,37.4636,-122.4286,63.21,93,100,1.01,mist,2022-01-06 23:53:30
633,palmer,US,42.1584,-72.3287,31.21,75,87,2.98,overcast clouds,2022-01-06 23:57:48
634,jiaocheng,CN,24.6774,116.1389,53.62,79,100,3.87,overcast clouds,2022-01-06 23:58:45
635,mindif,CM,10.3976,14.4363,73.9,27,56,8.95,broken clouds,2022-01-06 23:58:45
636,mukhen,RU,48.1,136.1,-5.53,96,100,3.47,overcast clouds,2022-01-06 23:57:01
637,abashiri,JP,44.0213,144.2697,12.49,85,75,4.61,broken clouds,2022-01-06 23:53:59
638,novokizhinginsk,RU,51.6115,109.5917,1.89,95,100,3.71,overcast clouds,2022-01-06 23:58:46
639,gualeguaychu,AR,-33.0094,-58.5172,77.86,45,0,6.11,clear sky,2022-01-06 23:58:46
640,vanavara,RU,60.34,102.2797,-11.7,100,96,3.2,overcast clouds,2022-01-06 23:58:46
641,mizdah,LY,31.4451,12.9801,47.21,43,79,6.76,broken clouds,2022-01-06 23:58:47
642,evanston,US,42.0411,-87.6901,13.26,75,75,3.0,broken clouds,2022-01-06 23:56:19
643,saquarema,BR,-22.92,-42.5103,77.02,90,100,13.04,light rain,2022-01-06 23:55:47
644,sokoni,TZ,-6.4333,39.55,82.0,81,100,11.72,overcast clouds,2022-01-06 23:59:47
645,colesberg,ZA,-30.72,25.0972,64.0,75,84,16.22,broken clouds,2022-01-06 23:59:47
646,gurun,MY,5.8172,100.4738,78.73,89,49,3.27,scattered clouds,2022-01-06 23:59:47
647,hualmay,PE,-11.0964,-77.6139,70.65,85,69,9.8,broken clouds,2022-01-06 23:51:15
648,itupiranga,BR,-5.1347,-49.3267,73.65,97,100,0.72,overcast clouds,2022-01-06 23:59:48
649,adre,TD,13.4667,22.2,66.36,27,69,8.14,broken clouds,2022-01-06 23:59:48
650,swan hill,AU,-35.3378,143.5544,79.45,48,37,8.86,scattered clouds,2022-01-06 23:59:39
651,college,US,64.8569,-147.8028,-7.28,77,90,0.0,overcast clouds,2022-01-06 23:54:39
652,parabel,RU,58.6978,81.4825,-17.46,99,45,6.49,scattered clouds,2022-01-06 23:59:48
653,blora,ID,-6.9698,111.4186,77.0,84,77,4.72,broken clouds,2022-01-06 23:59:49
